date,count,package,cum_count
2022-02-23,33,mikropml,7196
2022-02-24,6,mikropml,7202
2022-02-25,15,mikropml,7217
2022-02-26,5,mikropml,7222
2022-02-27,11,mikropml,7233
2022-02-28,6,mikropml,7239
2022-03-01,24,mikropml,7263
2022-03-02,25,mikropml,7288
2022-03-03,15,mikropml,7303
2022-03-04,8,mikropml,7311
2022-03-05,15,mikropml,7326
2022-03-06,10,mikropml,7336
2022-03-07,23,mikropml,7359
2022-03-08,13,mikropml,7372
2022-03-09,36,mikropml,7408
2022-03-10,13,mikropml,7421
2022-03-11,16,mikropml,7437
2022-03-12,7,mikropml,7444
2022-03-13,20,mikropml,7464
2022-03-14,8,mikropml,7472
2022-03-15,25,mikropml,7497
2022-03-16,20,mikropml,7517
2022-03-17,14,mikropml,7531
2022-03-18,8,mikropml,7539
2022-03-19,10,mikropml,7549
2022-03-20,6,mikropml,7555
2022-03-21,17,mikropml,7572
2022-03-22,6,mikropml,7578
2022-03-23,36,mikropml,7614
2022-03-24,9,mikropml,7623
2022-03-25,15,mikropml,7638
2022-03-26,10,mikropml,7648
2022-03-27,16,mikropml,7664
2022-03-28,14,mikropml,7678
2022-03-29,19,mikropml,7697
2022-03-30,26,mikropml,7723
2022-03-31,16,mikropml,7739
2022-04-01,9,mikropml,7748
2022-04-02,14,mikropml,7762
2022-04-03,3,mikropml,7765
2022-04-04,14,mikropml,7779
2022-04-05,10,mikropml,7789
2022-04-06,53,mikropml,7842
2022-04-07,23,mikropml,7865
2022-04-08,5,mikropml,7870
2022-04-09,5,mikropml,7875
2022-04-10,7,mikropml,7882
2022-04-11,18,mikropml,7900
2022-04-12,5,mikropml,7905
2022-04-13,30,mikropml,7935
2022-04-14,11,mikropml,7946
2022-04-15,7,mikropml,7953
2022-04-16,14,mikropml,7967
2022-04-17,6,mikropml,7973
2022-04-18,22,mikropml,7995
2022-04-19,8,mikropml,8003
2022-04-20,31,mikropml,8034
2022-04-21,3,mikropml,8037
2022-04-22,17,mikropml,8054
